date,open,close,high,low,volume
2001-01-31,46.144,50.667,54.466,41.101,1080161400
2001-02-28,50.864,37.39,51.7,36.925,1003485100
2001-03-30,37.012,30.85,45.112,29.943,1402084800
2001-04-30,30.865,36.366,40.187,26.476,1402966800
2001-05-31,36.405,35.247,40.936,34.719,1377556000
2001-06-29,35.885,36.011,38.997,32.386,1337427700
2001-07-31,35.972,32.906,36.626,30.976,1159939200
2001-08-31,33.6,28.864,34.671,28.17,1293413600
2001-09-28,28.777,22.836,29.549,21.433,1080420600
2001-10-31,22.733,26.713,29.203,21.945,1323239000
2001-11-30,27.138,31.244,32.284,26.618,1386505600
2001-12-31,30.96,30.661,34.277,30.267,1153870700
2002-01-31,31.181,30.345,33.568,29.037,1440783300
2002-02-28,30.259,26.618,30.865,26.074,1344747900
2002-03-28,26.91,28.415,30.881,25.799,1429040100
2002-04-30,28.21,25.003,29.077,24.089,1695431200
2002-05-31,24.955,23.671,26.571,18.502,1371455600
2002-06-28,23.647,20.566,23.837,19.219,1350241200
2002-07-31,20.472,18.793,21.079,16.28,1095132400
2002-08-30,18.707,18.51,20.653,16.784,1387141900
2002-09-30,18.045,16.327,19.187,16.146,1501079800
2002-10-31,16.548,19.345,19.802,15.571,1544059500
2002-11-29,19.203,21.748,22.292,19.022,1214020000
2002-12-31,22.308,19.203,22.686,18.313,1244109200
2003-01-31,19.495,19.258,21.67,18.652,1287833300
2003-02-28,19.432,19.826,20.267,18.376,1225889100
2003-03-31,19.928,19.897,21.575,18.399,1404591000
2003-04-30,20.046,21.63,22.111,19.826,1357246000
2003-05-30,21.583,23.474,23.537,21.425,1383444200
2003-06-30,23.655,23.6,24.798,22.584,1632091100
2003-07-31,23.506,25.058,25.996,23.056,1441778100
2003-08-29,25.089,26.311,26.366,23.584,1356116400
2003-09-30,26.484,25.546,27.469,24.018,1238000400
2003-10-31,25.712,27.721,28.367,25.546,1522872700
2003-11-28,27.887,27.895,28.572,25.94,1139752400
2003-12-31,28.131,28.741,31.07,26.894,1292978200
2004-01-30,28.851,29.222,30.743,28.244,1284668700
2004-02-27,29.324,28.812,31.216,28.299,1173339000
2004-03-31,28.906,28.252,29.308,26.81,1037789500
2004-04-30,28.173,27.409,30.176,26.841,1130120500
2004-05-28,27.59,28.812,28.812,25.414,1061040100
2004-06-30,28.591,29.781,29.876,28.236,1555694900
2004-07-30,29.687,27.535,30.152,26.565,885167600
2004-08-31,27.283,26.833,27.968,25.501,1347478200
2004-09-30,26.746,27.7,28.26,26.644,1393666200
2004-10-29,27.945,29.056,30.349,27.306,892285400
2004-11-30,29.143,30.861,31.248,29.009,1322448500
2004-12-31,31.484,31.769,32.067,29.613,1370404600
2005-01-31,31.905,29.764,32.064,29.016,2234773200
2005-02-28,29.835,29.621,30.623,29.207,1765610600
2005-03-31,29.74,29.103,30.472,28.602,2133973700
2005-04-29,29.302,27.838,29.501,27.337,2345433600
2005-05-31,27.933,30.305,30.456,27.766,1881340000
2005-06-30,30.265,29.297,30.783,29.234,1943627500
2005-07-29,29.361,31.528,31.799,29.114,1620613000
2005-08-31,31.575,31.05,31.974,30.476,1714890300
2005-09-30,31.066,31.432,31.791,30.46,1676662500
2005-10-31,31.496,30.962,31.767,29.735,2279169700
2005-11-30,30.89,32.85,33.471,30.835,1718491700
2005-12-30,33.065,32.267,33.702,32.227,1416706400
2006-01-31,32.458,33.536,34.582,32.067,1968905800
2006-02-28,33.329,32.818,33.672,32.147,1646562100
2006-03-31,32.921,33.504,33.799,32.091,2185862300
2006-04-28,33.68,33.44,34.399,33.072,1763904700
2006-05-31,33.496,31.019,33.783,30.547,2709535300
2006-06-30,31.107,30.999,31.962,29.692,3052135008
2006-07-31,31.095,29.664,31.183,28.417,2462886000
2006-08-31,29.4,31.079,31.207,28.993,2281929100
2006-09-29,31.247,32.522,32.762,30.64,2234461000
2006-10-31,32.482,34.066,34.338,31.906,2410484000
2006-11-30,34.186,35.234,35.89,33.29,2370363000
2006-12-29,35.202,34.572,35.854,34.348,1898275500
2007-01-31,34.813,35.301,36.367,34.06,2620557700
2007-02-28,35.461,34.708,36.487,34.388,2394303300
2007-03-30,34.084,34.89,35.628,33.691,2886831700
2007-04-30,35.003,36.838,37.431,34.706,1840448700
2007-05-31,36.846,38.0,38.088,36.598,2575501900
2007-06-29,38.137,38.212,38.469,36.998,2815209900
2007-07-31,38.3,38.156,40.669,38.076,2780452500
2007-08-31,38.044,39.232,39.384,35.635,3835583508
2007-09-28,39.28,41.292,41.509,38.381,1980639900
2007-10-31,41.324,44.2,44.232,41.236,3400285108
2007-11-30,43.919,41.212,43.991,39.075,4567776296
2007-12-31,41.035,41.226,42.441,39.501,2233867700
2008-01-31,41.266,36.324,41.427,33.491,4828694604
2008-02-29,36.622,34.57,36.928,33.926,3020516600
2008-03-31,34.545,35.244,36.332,33.04,3404279708
2008-04-30,35.808,38.057,38.742,35.211,2616810900
2008-05-30,38.073,40.314,40.685,38.065,2682797700
2008-06-30,40.241,36.464,40.798,36.302,3542909100
2008-07-31,36.173,36.698,37.255,34.954,3953264304
2008-08-29,36.738,37.231,39.209,35.762,2893866300
2008-09-30,37.836,31.453,38.006,30.054,5188670404
2008-10-31,31.396,26.587,31.501,22.707,7240779812
2008-11-28,26.522,23.539,27.492,20.249,3919285904
2008-12-31,23.038,24.111,24.921,21.696,2944238700
2009-01-30,24.119,23.56,25.643,22.668,2829542600
2009-02-27,23.333,22.319,25.684,22.206,3324074200
2009-03-31,21.987,24.662,25.59,20.779,3805123800
2009-04-30,24.353,27.884,28.388,24.231,2991632100
2009-05-29,27.875,28.778,28.876,26.81,2734076200
2009-06-30,29.087,29.664,30.283,28.352,2511948000
2009-07-31,29.811,32.168,32.763,27.968,2575607800
2009-08-31,32.51,32.641,33.497,31.361,2248149500
2009-09-30,32.527,34.517,35.269,31.817,2114774900
2009-10-30,34.395,33.463,35.8,33.267,2291065900
2009-11-30,33.496,35.588,36.478,33.202,1807922400
2009-12-31,35.857,37.443,37.893,35.391,1524036700
2010-01-29,37.918,35.02,38.171,34.89,2382152500
2010-02-26,35.111,36.633,36.87,34.472,1932176400
2010-03-31,36.796,39.5,39.861,36.788,1623606900
2010-04-30,39.665,40.386,41.543,39.197,1701457500
2010-05-28,40.559,37.401,41.149,34.973,2952228100
2010-06-30,37.261,35.097,39.181,35.04,2058088600
2010-07-30,35.204,37.644,38.392,34.325,1748673600
2010-08-31,38.121,35.713,38.778,35.311,1483278100
2010-09-30,36.239,40.512,41.148,36.215,1574743200
2010-10-29,40.85,43.079,43.335,39.794,1538354800
2010-11-30,43.236,43.005,44.615,41.981,1564994700
2010-12-31,43.641,45.141,45.555,43.624,1006766900
2011-01-31,45.564,46.417,47.536,45.522,1265608600
2011-02-28,46.766,47.885,48.937,46.525,1101561900
2011-03-31,48.092,47.737,48.382,44.569,1729243300
2011-04-29,47.978,49.109,49.283,45.983,1018632720
2011-05-31,49.2,48.51,49.325,46.939,995104695
2011-06-30,48.394,47.634,48.51,44.562,1154887325
2011-07-29,47.676,48.427,49.955,47.484,1187671089
2011-08-31,48.987,45.972,49.112,41.689,2419560752
2011-09-30,46.098,43.99,48.063,43.342,1587870439
2011-10-31,43.613,48.566,49.613,41.979,1524494661
2011-11-30,47.401,47.258,49.429,44.308,1248748732
2011-12-30,47.242,47.065,48.289,45.666,953248777
2012-01-31,47.976,51.027,51.305,47.681,781456805
2012-02-29,51.297,54.298,54.762,51.137,970007149
2012-03-30,54.509,57.139,57.951,53.303,1016060681
2012-04-30,57.062,56.47,57.984,54.516,1006699086
2012-05-31,56.403,52.495,57.206,51.395,1251362974
2012-06-28,51.573,52.856,54.87,50.786,901388074
2012-07-31,54.581,55.065,55.499,52.567,835309163
2012-08-31,55.448,57.92,58.532,54.309,652192595
2012-09-28,57.81,58.435,60.114,57.292,616477291
2012-10-31,58.716,55.35,59.483,55.095,790918003
2012-11-30,55.665,56.075,56.424,52.248,823883174
2012-12-31,56.518,56.125,56.893,54.789,775749140
2013-01-31,57.469,57.624,58.417,57.021,699781522
2013-02-28,58.029,57.822,58.822,56.84,599512118
2013-03-28,57.615,59.71,59.788,57.34,543699449
2013-04-30,59.745,61.225,61.234,57.901,775207402
2013-05-31,61.216,63.415,64.887,60.818,655862127
2013-06-28,63.467,62.092,63.909,60.245,725926870
2013-07-31,62.519,66.013,66.396,62.162,550379752
2013-08-30,66.474,65.751,67.328,65.307,508544177
2013-09-30,66.3,69.136,69.714,65.812,482595972
2013-10-31,69.127,72.563,73.167,66.918,777058229
2013-11-29,72.782,75.139,75.236,71.318,533506403
2013-12-31,75.227,77.586,77.586,73.667,629470115
2014-01-31,77.224,76.095,78.503,74.763,807017562
2014-02-28,75.981,80.35,80.901,73.864,695284255
2014-03-31,79.585,78.333,81.257,77.198,780234314
2014-04-30,78.717,78.082,80.128,74.41,1086911522
2014-05-30,78.207,81.576,81.71,76.42,760896776
2014-06-30,81.692,84.134,84.34,80.986,549171486
2014-07-31,84.402,85.128,87.359,83.883,606907724
2014-08-29,84.958,89.392,89.509,84.107,626796827
2014-09-30,89.625,88.743,90.305,87.737,736310288
2014-10-31,88.491,91.06,91.374,81.038,1247462059
2014-11-28,91.176,95.2,95.406,90.404,416451523
2014-12-31,94.939,93.414,95.233,89.731,795469426
2015-01-30,93.876,91.478,94.618,89.895,784890420
2015-02-27,91.677,98.047,98.562,90.248,456430642
2015-03-31,98.264,95.981,99.135,94.708,607656996
2015-04-30,95.981,97.826,101.035,94.836,542528505
2015-05-29,98.208,100.053,100.962,96.336,491213656
2015-06-30,100.562,97.803,101.473,97.373,549277645
2015-07-31,98.734,102.222,104.45,96.634,616255168
2015-08-31,102.24,95.255,103.181,77.377,974284888
2015-09-30,92.872,93.352,99.273,90.609,854578205
2015-10-30,93.536,103.969,104.675,92.196,717533827
2015-11-30,104.262,104.62,105.951,100.454,535765967
2015-12-31,105.033,103.268,106.207,100.363,744913751
2016-01-29,101.024,96.131,101.717,89.78,1068823436
2016-02-29,95.661,94.627,96.75,87.555,940859301
2016-03-31,95.504,101.111,101.889,95.236,600572409
2016-04-29,100.537,97.889,103.185,97.111,557468898
2016-05-31,98.12,102.166,102.324,96.666,536207678
2016-06-30,101.851,100.105,102.546,95.795,532053544
2016-07-29,100.058,107.263,107.552,99.202,419431883
2016-08-31,107.338,108.39,110.568,106.323,368732891
2016-09-30,108.427,110.789,111.255,105.774,538700636
2016-10-31,110.611,109.174,111.666,108.195,406254580
2016-11-30,109.361,109.65,111.526,105.871,595570867
2016-12-30,109.613,110.892,113.737,107.523,497556049
2017-01-31,111.669,116.592,117.855,111.275,365290183
2017-02-28,117.387,121.693,122.329,116.863,306888390
2017-03-31,122.432,124.418,124.756,121.617,441907144
2017-04-28,124.512,127.811,128.14,122.538,387695020
2017-05-31,128.253,132.792,133.309,127.698,530367723
2017-06-30,133.055,129.715,135.245,128.405,1043846136
2017-07-31,130.289,134.983,137.556,127.981,567110793
2017-08-31,135.444,137.782,137.791,132.108,737712221
2017-09-29,137.961,137.375,138.244,134.211,632248250
2017-10-31,137.583,143.703,143.911,136.884,549094395
2017-11-30,144.27,146.537,147.991,142.4,584198367
2017-12-29,145.63,147.421,150.27,143.618,622383820
2018-01-31,148.121,160.331,161.798,147.809,698394830
2018-02-28,159.119,158.258,161.589,142.092,1179841225
2018-03-29,158.334,151.803,165.83,147.925,1085306589
2018-04-30,150.731,152.57,158.315,145.878,987535759
2018-05-31,152.172,161.226,162.297,150.94,687987327
2018-06-29,161.993,163.072,169.086,160.716,784338787
2018-07-31,161.543,167.632,173.788,161.191,709034457
2018-08-31,168.031,177.322,178.149,167.005,667522923
2018-09-28,176.8,176.823,177.489,171.423,645534390
2018-10-31,177.803,161.624,178.479,152.363,1817070570
2018-11-30,161.871,161.195,167.106,149.546,1152121570
2018-12-31,164.745,147.234,164.945,136.926,1395544303
2019-01-31,144.113,160.501,161.293,142.681,933652357
2019-02-28,159.747,165.302,166.705,158.984,535963967
2019-03-29,166.467,171.79,174.821,161.627,781972778
2019-04-30,173.473,181.237,182.939,172.851,550157653
2019-05-31,182.403,166.33,182.939,166.253,901553894
2019-06-28,165.919,178.954,181.457,161.855,688730551
2019-07-31,182.365,183.132,187.397,180.526,494381316
2019-08-30,183.525,179.653,186.85,171.728,817515868
2019-09-30,178.494,181.303,186.592,177.315,556686903
2019-10-31,182.004,189.244,189.964,174.591,585004593
2019-11-29,190.06,196.945,197.857,189.772,352359439
2019-12-31,196.954,204.599,206.475,186.085,431198262
2020-01-31,206.321,210.815,217.369,204.243,587165940
2020-02-28,211.845,198.045,228.522,190.703,954555771
2020-03-31,201.009,183.616,211.335,159.053,2191775633
2020-04-30,178.225,211.11,212.2,174.416,1092313731
2020-05-29,206.895,225.045,225.276,203.597,847314681
2020-06-30,224.119,239.193,242.622,223.222,928724405
2020-07-31,239.251,256.765,260.63,238.691,925204198
2020-08-31,258.949,284.868,286.674,255.645,701609241
2020-09-30,287.495,268.797,293.195,251.644,1325797316
2020-10-30,272.619,260.613,287.779,258.378,937156210
2020-11-30,262.886,289.868,290.4,258.281,751821723
2020-12-31,292.045,304.079,305.0,288.388,570275496
2021-01-29,305.407,304.874,320.149,295.783,655572330
2021-02-26,308.315,304.467,327.776,301.307,795575882
2021-03-31,309.439,309.694,314.343,288.291,1621565283
2021-04-30,313.517,327.996,332.664,313.265,771172902
2021-05-28,329.199,324.056,329.947,306.656,965410817
2021-06-30,325.386,344.349,345.126,318.573,751288660
2021-07-30,343.999,354.2,358.397,342.027,813285853
2021-08-31,355.862,369.143,369.93,349.721,683688598
2021-09-30,370.202,348.164,371.89,347.327,931919464
2021-10-29,348.786,375.543,375.709,340.733,878747851
2021-11-30,375.981,383.042,397.525,373.9,922244434
2021-12-31,387.38,387.457,394.011,367.609,1234580300
2022-01-31,388.625,353.566,391.771,325.421,1848326615
2022-02-28,354.91,337.74,360.432,309.946,1523185568
2022-03-31,336.718,353.505,362.564,309.157,1686866041
2022-04-29,353.769,305.444,360.107,304.81,1501958749
2022-05-31,305.034,300.598,322.059,273.227,1951162711
2022-06-30,302.733,273.821,306.721,262.569,1359865166
2022-07-29,272.522,308.19,309.099,270.372,1178025678
2022-08-31,306.422,292.373,326.714,291.563,1070107589
2022-09-30,289.882,261.57,303.911,261.413,1370988811
2022-10-31,263.341,272.032,278.541,248.847,1357214748
2022-11-30,275.502,287.114,287.222,253.564,1195715018
2022-12-30,287.437,261.235,290.554,254.809,1057037645
2023-01-31,263.56,289.038,292.609,255.408,961927648
2023-02-28,288.832,287.998,307.737,284.555,1094751646
2023-03-31,287.704,315.337,315.573,279.787,1545364607
2023-04-28,313.215,316.939,317.027,304.49,993554883
2023-05-31,316.477,341.926,347.762,309.624,1149238349
2023-06-30,341.67,363.48,366.353,340.619,1138190013
2023-07-31,364.12,377.511,381.742,357.567,974887210
2023-08-31,376.163,371.912,377.393,349.007,1202809086
2023-09-29,374.284,353.019,374.707,346.211,960069773
2023-10-31,353.285,345.728,368.263,337.333,1238754201
2023-11-30,346.565,383.131,388.364,346.467,971634719
2023-12-29,382.067,404.537,407.896,377.052,867698363
2024-01-31,400.902,411.896,424.62,390.53,973043588
2024-02-29,413.694,433.658,435.229,412.726,866304358
2024-03-28,434.547,439.188,444.46,427.476,905018584
2024-04-30,440.137,419.979,442.67,408.584,1066580260
2024-05-31,418.554,445.815,455.578,416.062,730606117
2024-06-28,449.633,474.659,482.674,443.036,550602787
2024-07-31,475.581,466.694,498.843,449.931,801615060
2024-08-30,467.378,471.846,481.03,419.516,908585535
2024-09-30,468.804,484.215,489.801,444.027,694845717
2024-10-31,483.848,480.029,497.391,473.63,660234819
2024-11-29,481.666,505.714,511.508,480.43,567729700
2024-12-31,506.974,508.01,534.892,505.268,627461386
2025-01-31,511.061,519.0,530.458,496.553,677103047
2025-02-28,510.236,504.969,537.404,493.8,585211035
2025-03-31,508.298,466.661,509.809,455.127,982343707
2025-04-30,465.049,473.18,477.25,400.452,1366190805
2025-05-30,481.081,516.609,523.944,474.485,993580069
2025-06-30,514.748,549.599,550.755,513.485,925199517
2025-07-31,547.696,562.92,572.504,542.645,921977269
2025-08-29,556.763,568.29,581.162,549.639,964975037
2025-09-30,559.234,598.842,601.336,557.465,1132871944
2025-10-31,595.651,627.469,635.389,587.551,1324908604
2025-11-28,633.494,617.674,634.202,579.262,1227811647
2025-12-31,612.069,613.537,627.609,598.753,1064378944
2026-01-30,619.279,621.087,635.799,606.286,1085285806
2026-02-27,617.921,606.525,629.187,592.593,1306656961
2026-03-31,598.106,577.18,612.518,555.6,1630084200
2026-04-30,581.48,667.74,668.9,571.92,918162973
2026-05-29,669.16,738.31,741.63,668.8,787478763
2026-06-08,737.04,716.07,748.65,704.32,292036596
